text,format,module,fact_ids,staffel,chars
Cameranu.nl had 139 inkoopcontracten bij het Rijk. Categorie: benodigdheden en hulpmiddelen. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-101,yes,137
Stichting veiligheidNL ontving geld van het Rijk via vijf verschillende bronnen. Totaal: €33.564.352. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,integraal,CROSS-MULTI-027,no,151
Hoeveel ontving Invoerrechten van het Rijk? €17.353.195.000. In vier jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-009,no,124
Hoeveel ontving Stichting Zonova van Amsterdam? €36.233.285. In negen jaar. #Gemeentefonds #Gemeenten #OV #Amsterdam,curiosity,gemeente,GEM-TOP-076,no,116
Hoeveel inkoopcontracten had Coolblue B.V. bij het Rijk? 404. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-007,yes,120
Coöperatieve Unie Van Bosgroepen ontving €31.669.654 van Gelderland. In vijf jaar. #Provincies #Overheidsuitgaven #Gelderland,concentration,provincie,PROV-TOP-077,no,125
Coöperatieve Bosgroep Zuid-Nederland UA ontving €32.957.581 van Noord-Brabant. In negen jaar. #Provincies #Overheidsuitgaven #NoordBrabant,concentration,provincie,PROV-TOP-074,no,138
Natuurmonumenten ontving €50.941.266 van de provincie Limburg. In vijf jaar. #Provincies #Overheidsuitgaven #Limburg,scale_shock,provincie,PROV-TOP-045,no,116
Millers had 174 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-059,yes,152
Justitie en Veiligheid gaf €166.530.000 uit aan uitzendkrachten. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-157,no,128
Gemeente Groningen: €4.023.396.000. Technische Universiteit Delft: €3.875.953.000. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Groningen #Universiteit,comparison,instrumenten,INSTR-TOP-053;INSTR-TOP-054,no,171
Hoeveel ontving Stichting OnePlanet Food & Health van Gelderland? €65.000.000. In één jaar. #Provincies #Overheidsuitgaven #Gelderland,curiosity,provincie,PROV-TOP-026,no,134
Hoeveel ontving St. IrisZorg van Arnhem? €25.107.609. In vijf jaar. #Gemeentefonds #Gemeenten #Zorg #Arnhem,curiosity,gemeente,GEM-TOP-120,no,107
Het Rijk gaf €1.354.970.000 uit aan reis- en verblijfskosten. Via apparaatsuitgaven. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,apparaat,APP-TOP-022,no,134
Hoeveel ontving Stichting Gooisch Natuurreservaat van Noord-Holland? €13.017.921. In acht jaar. #Provincies #Overheidsuitgaven #NoordHolland,curiosity,provincie,PROV-TOP-194,no,140
