text,format,module,fact_ids,staffel,chars
Gemeente Doetinchem ontving €17.462.452 van Gelderland. In negen jaar. #Provincies #Overheidsuitgaven #Gelderland,concentration,provincie,PROV-TOP-146,no,113
Hoeveel ontving De Efteling B.V. van Noord-Brabant? €15.000.000. In één jaar. #Provincies #Overheidsuitgaven #NoordBrabant,curiosity,provincie,PROV-TOP-174,no,122
Hoeveel gaf Binnenlandse Zaken en Koninkrijksrelaties uit aan apparaatskosten? €5.818.243.000. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,apparaat,APP-MIN-008,no,144
Hoeveel ontving Stichting Koninklijk Concertgebouworkest van Amsterdam? €53.411.889. In acht jaar. #Gemeentefonds #Gemeenten #Amsterdam,curiosity,gemeente,GEM-TOP-045,no,135
Capgemini Nederland B.V. had 303 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-014,yes,154
Coöperatieve Vereniging Súdwestkust UA ontving €19.332.718 van Friesland. In twee jaar. #Provincies #Overheidsuitgaven #Friesland,concentration,provincie,PROV-TOP-131,no,129
"Stichting Sterk Huis ontving €32.157.149 van de gemeente Tilburg. Dat is 3,9% van alle uitkeringen. #Gemeentefonds #Gemeenten #Tilburg",concentration,gemeente,GEM-DOM-049,no,134
Binnenlandse Zaken en Koninkrijksrelaties gaf €1.139.555.000 uit aan bzk specifiek. In zes jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-031,no,146
Hoeveel inkoopcontracten had Allekabels B.V. bij het Rijk? 131. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-124,yes,122
Leeuwarden: €1.288.130.000. Apeldoorn: €1.286.780.000. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Transparantie,comparison,instrumenten,INSTR-TOP-147;INSTR-TOP-148,no,133
"Stichting Het Kopland ontving €42.767.054 van de gemeente Groningen. Dat is 5,1% van alle uitkeringen. #Gemeentefonds #Gemeenten #Groningen",concentration,gemeente,GEM-DOM-034,no,139
Hoeveel ontving NWO Ned Org Wetensch Onderz van het Rijk? €4.094.234.000. In vier jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-052,no,137
