text,format,module,fact_ids,staffel,chars
"Stichting Swazoom Kinderopvang (Amsterdam): €1.813.683 in 2023, €5.538.021 in 2018. #Gemeentefonds #Gemeenten #Amsterdam",comparison,gemeente,GEM-TOP-075,no,120
Gartner Nederland B.V had 242 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-024,yes,151
Gemeente Amsterdam ontving €4.005.827.000 in 2024 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Amsterdam,scale_shock,instrumenten,INSTR-TOP-015,no,124
Stichting Albeda had 26 contracten bij ZonMW. In twee jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-147,yes,103
Hoeveel ontving Gemeente Renkum van Gelderland? €14.370.317. In negen jaar. #Provincies #Overheidsuitgaven #Gelderland,curiosity,provincie,PROV-TOP-180,no,118
Keolis Nederland B.V. ontving €105.683.055 van Utrecht. In twee jaar. #Provincies #Overheidsuitgaven #Utrecht,concentration,provincie,PROV-TOP-013,no,109
Financiën gaf €169.786.000 uit aan huisvesting. In twee jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-154,no,111
Hoeveel ontving Gemeente Emmen van het Rijk? €1.704.146.000. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-114,no,124
"Hoeveel inkoopcontracten had Wirtz, Film & Experience Agency B.V bij het Rijk? 181. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie",curiosity,inkoop,INKOOP-TOP-047,yes,142
Gemeente Utrecht ontving €1.363.351.000 in 2023 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Utrecht,scale_shock,instrumenten,INSTR-TOP-045,no,120
