text,format,module,fact_ids,staffel,chars
Justitie en Veiligheid gaf €135.363.000 uit aan sociale lasten en. In twee jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-185,no,130
Universiteit Leiden had 79 contracten bij NWO. In zeven jaar. #Overheidsuitgaven #Universiteit #Transparantie,concentration,publiek,PUB-TOP-031,yes,109
"Stichting Zonova (Amsterdam): €2.368.130 in 2018, €6.501.015 in 2023. #Gemeentefonds #Gemeenten #OV #Amsterdam",comparison,gemeente,GEM-TOP-076,no,110
Hoeveel ontving Stichting U Centraal van Utrecht? €13.954.287. In twee jaar. #Gemeentefonds #Gemeenten #Utrecht,curiosity,gemeente,GEM-TOP-199,no,111
Hoeveel ontving Stichting Jeugdfonds Sport & Cultuur Amsterdam van Amsterdam? €25.174.010. In negen jaar. #Gemeentefonds #Gemeenten #Amsterdam #Cultuur #Sport,curiosity,gemeente,GEM-TOP-119,no,158
Ministerie van Buitenlandse Zaken gaf €277.184.000 uit aan verwerven en afstoten. In vier jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-098,no,145
Staatsbosbeheer Fryslân ontving €66.874.749 van de provincie Friesland. In één jaar. #Provincies #Overheidsuitgaven #Friesland,scale_shock,provincie,PROV-TOP-025,no,126
Belastingdienst Apeldoorn had twintig contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-150,yes,116
Collectief Eemland ontving €14.276.819 van Utrecht. In twee jaar. #Provincies #Overheidsuitgaven #Utrecht,concentration,provincie,PROV-TOP-183,no,105
Hoeveel ontving Coöperatieve Vereniging BreedSaam van Breda? €53.755.704. In zes jaar. #Gemeentefonds #Gemeenten #Breda,curiosity,gemeente,GEM-TOP-044,no,119
Commissariaat voor de media ontving €1.247.828.000 in 2024 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,instrumenten,INSTR-TOP-023,no,137
Hoeveel ontving Gemeente Zwolle van Overijssel? €44.071.968. In zeven jaar. #Provincies #Overheidsuitgaven #Overijssel,curiosity,provincie,PROV-TOP-056,no,118
Ontwerpwerk B.V. had 171 inkoopcontracten bij het Rijk. Categorie: diversen communicatie. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-063,yes,134
Gemeente Utrecht: €5.049.944.000. Rijksuniversiteit Groningen: €4.751.545.000. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Utrecht #Groningen #Universiteit,comparison,instrumenten,INSTR-TOP-045;INSTR-TOP-046,no,176
Le Cocq Holding Didam II B.V. had 31 contracten bij COA. In twee jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-113,yes,114
"Binnenlandse zaken en Koninkrijksrelaties: €2.335.724.000 aan apparaatskosten. Salarissen, huisvesting, ICT en meer. #Overheidsuitgaven #Rijksbegroting #Transparantie",scale_shock,apparaat,APP-MIN-015,no,166
Stichting DOCK ontving €20.611.671 van de gemeente Utrecht. In twee jaar. #Gemeentefonds #Gemeenten #Utrecht,scale_shock,gemeente,GEM-TOP-148,no,108
Safari Resort Vastgoed BV ontving €61.500.000 van Noord-Brabant. In twee jaar. #Provincies #Overheidsuitgaven #NoordBrabant,concentration,provincie,PROV-TOP-028,no,123
De Strip BV had 32 contracten bij COA. In drie jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-045,yes,96
Provincie Zuid-Holland: €1.451.686.521. Provincie Limburg: €1.274.409.374. Provinciale subsidies. #Provincies #Overheidsuitgaven #ZuidHolland #Limburg,comparison,provincie,PROV-TOTAL-003;PROV-TOTAL-004,no,150
Centralpoint B.V. had 148 inkoopcontracten bij het Rijk. Categorie: aanschaf hardware. In vier jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-088,yes,145
Stichting De Regenboog Groep ontving €87.089.185 van de gemeente Amsterdam. In negen jaar. #Gemeentefonds #Gemeenten #Amsterdam,scale_shock,gemeente,GEM-TOP-016,no,127
"Categorie 'Post-, koeriers- en transportdiensten': 692 leveranciers, 2354 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Sport",category_reveal,inkoop,INKOOP-CAT-039,yes,135
Pivot Park Vastgoed B.V. ontving €49.276.790 van de provincie Noord-Brabant. In drie jaar. #Provincies #Overheidsuitgaven #NoordBrabant,scale_shock,provincie,PROV-TOP-050,no,135
Vereniging Noardlike Fryske Wâlden ontving €33.655.478 van de provincie Friesland. In twee jaar. #Provincies #Overheidsuitgaven #Friesland,scale_shock,provincie,PROV-TOP-070,no,138
Nevi B.V. had 143 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-095,yes,125
"Categorie 'Inrichting van gebouwen': 2447 leveranciers, 8006 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Transparantie",category_reveal,inkoop,INKOOP-CAT-018,yes,130
"Taakuitvoering Landstrijdkrachten gaf €157.216.000 uit aan toelagen, toeslagen en vergoedingen. In één jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie",category_reveal,apparaat,APP-KMIN-166,no,158
Sociale Verzekeringsbank: €114.262.130.000. Zorginstituut Nederland: €71.007.222.000. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Zorg,comparison,instrumenten,INSTR-TOP-001;INSTR-TOP-002,no,155
"""De Haagse Scholen"", stichting voor primair en speciaal openbaar onderwijs ontving €20.098.162 van de gemeente Den Haag. In drie jaar. #Gemeentefonds #Gemeenten #Onderwijs #DenHaag",scale_shock,gemeente,GEM-TOP-153,no,180
