text,format,module,fact_ids,staffel,chars
"Buitenlandse Zaken gaf €390.780.000 uit aan salaris, vakantie- en eindejaarsuitkering. In één jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie",category_reveal,apparaat,APP-KMIN-076,no,149
"Defensie gaf €1.437.780.000 uit aan uitkeringen, pensioenen en wachtgelden. In één jaar. #Overheidsuitgaven #Rijksbegroting #Defensie",category_reveal,apparaat,APP-KMIN-022,no,133
Schotpoort Connect B.V. had twintig contracten bij COA. In vijf jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-148,yes,113
Hoeveel ontving Natuurbeheer Oost-Brabant UA van Noord-Brabant? €14.907.664. In twee jaar. #Provincies #Overheidsuitgaven #NoordBrabant,curiosity,provincie,PROV-TOP-175,no,135
Hoeveel ontving Gemeente Haarlemmermeer van Noord-Holland? €19.130.308. In negen jaar. #Provincies #Overheidsuitgaven #Haarlem #NoordHolland,curiosity,provincie,PROV-TOP-132,no,140
Technisch Bureau Magema B.V. had 133 inkoopcontracten bij het Rijk. Categorie: benodigdheden en hulpmiddelen. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-119,yes,154
Hoeveel ontving Stichting Stadgenoot van Amsterdam? €16.864.738. In zeven jaar. #Gemeentefonds #Gemeenten #Amsterdam,curiosity,gemeente,GEM-TOP-174,no,116
Capgemini Nederland B.V. had 303 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-014,yes,140
Hoeveel ontving Anonymus van Noord-Holland? €22.424.283. In zeven jaar. #Provincies #Overheidsuitgaven #NoordHolland,curiosity,provincie,PROV-TOP-109,no,116
Hoeveel ontving Stichting Avans van het Rijk? €2.028.629.000. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-090,no,126
Hoeveel ontving Wageningen University van het Rijk? €1.677.305.000. In zeven jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-117,no,132
