text,format,module,fact_ids,staffel,chars
Hoeveel inkoopcontracten had Protinus IT B.V. bij het Rijk? 908. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-001,yes,123
Directbouw b.v. had 30 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-118,yes,101
Het Rijk gaf €3.627.717.000 uit aan sociale lasten en bijdrage zorgverzekeringswet. Via apparaatsuitgaven. #Overheidsuitgaven #Rijksbegroting #Zorg,scale_shock,apparaat,APP-TOP-007,no,147
Qbuzz B.V. ontving €142.123.321 van de provincie Zuid-Holland. In twee jaar. #Provincies #Overheidsuitgaven #ZuidHolland,scale_shock,provincie,PROV-TOP-007,no,120
Enexis Holding N.V. ontving €159.490.380 van Noord-Brabant. In één jaar. #Provincies #Overheidsuitgaven #NoordBrabant,concentration,provincie,PROV-TOP-006,no,117
Hoeveel ontving Elan Zuidoost Friesland van Friesland? €17.300.398. In drie jaar. #Provincies #Overheidsuitgaven #Friesland,curiosity,provincie,PROV-TOP-148,no,123
WOT! | B.I.T. Netherlands B.V. had 22 contracten bij COA. In vier jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-119,yes,115
Staatsbosbeheer ontving €42.340.793 van Zeeland. In acht jaar. #Provincies #Overheidsuitgaven #Zeeland,concentration,provincie,PROV-TOP-057,no,102
Rijksvastgoedbedrijf had 40 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-025,yes,106
Gemeente Haarlemmermeer ontving €19.130.308 van Noord-Holland. In negen jaar. #Provincies #Overheidsuitgaven #Haarlem #NoordHolland,concentration,provincie,PROV-TOP-132,no,131
Vermaat Leisure B.V. had 205 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-034,yes,165
Hoeveel ontving 's-Gravenhage van het Rijk? €5.184.290.000. In vier jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-043,no,123
Pricewaterhousecoopers Advisory N.V. had 156 inkoopcontracten bij het Rijk. Categorie: uitbesteden beleidsadvies- en onderzoeksopdrachten. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-075,yes,197
HumanCapitalCare B.V. had 37 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-032,yes,107
Hoeveel ontving Stichting Jongleren van Den Haag? €41.827.282. In zeven jaar. #Gemeentefonds #Gemeenten #DenHaag,curiosity,gemeente,GEM-TOP-067,no,112
SPIE Building Solutions B.V. had 28 contracten bij COA. In twee jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-134,yes,113
Hoeveel ontving Safari Resort Vastgoed BV van Noord-Brabant? €61.500.000. In twee jaar. #Provincies #Overheidsuitgaven #NoordBrabant,curiosity,provincie,PROV-TOP-028,no,132
Stichting Amsterdam Institute for Advanced Metropolitan Solutions (AMS) ontving €42.187.001 van de gemeente Amsterdam. In zeven jaar. #Gemeentefonds #Gemeenten #Amsterdam,scale_shock,gemeente,GEM-TOP-066,no,170
Gemeente Roosendaal ontving €14.856.947 van Noord-Brabant. In zes jaar. #Provincies #Overheidsuitgaven #NoordBrabant,concentration,provincie,PROV-TOP-176,no,116
Hoeveel ontving Stichting de Toneelschuur van Haarlem? €15.003.408. In zes jaar. #Gemeentefonds #Gemeenten #Haarlem,curiosity,gemeente,GEM-TOP-192,no,115
Chasse Theater N.V. ontving €38.852.296 van de gemeente Breda. In zeven jaar. #Gemeentefonds #Gemeenten #Cultuur #Breda,scale_shock,gemeente,GEM-TOP-070,no,119
"ContourdeTwern Stichting ontving €72.982.342 van de gemeente Tilburg. Dat is 8,8% van alle uitkeringen. #Gemeentefonds #Gemeenten #Tilburg",concentration,gemeente,GEM-DOM-016,no,138
"Stichting Leger des Heils Welzijns- en Gezondheidszorg ontving €87.054.754 van de gemeente Den Haag. Dat is 3,4% van alle uitkeringen. #Gemeentefonds #Gemeenten #Zorg #Welzijn #DenHaag",concentration,gemeente,GEM-DOM-061,no,184
Burrata Turfmarkt B.V. had 131 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-126,yes,153
Hoeveel inkoopcontracten had Bar Restaurant Pavlov B.V. bij het Rijk? 173. In acht jaar. #Overheidsinkoop #Rijksinkoop #OV,curiosity,inkoop,INKOOP-TOP-061,yes,122
Stichting Het Nationale Theater ontving €78.817.053 van de gemeente Den Haag. In acht jaar. #Gemeentefonds #Gemeenten #Cultuur #DenHaag,scale_shock,gemeente,GEM-TOP-023,no,135
Staatsbosbeheer ontving €91.743.628 van Gelderland. In negen jaar. #Provincies #Overheidsuitgaven #Gelderland,concentration,provincie,PROV-TOP-016,no,109
"Ministerie van Volksgezondheid, Welzijn en Sport gaf €119.607.000 uit aan inbesteding sso. In twee jaar. #Overheidsuitgaven #Rijksbegroting #Sport #Welzijn",category_reveal,apparaat,APP-KMIN-199,no,155
Jean Heybroek BV had 33 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-039,yes,102
"Buitenlandse Zaken: €6.207.570.000 aan apparaatskosten. Salarissen, huisvesting, ICT en meer. #Overheidsuitgaven #Rijksbegroting #Transparantie",scale_shock,apparaat,APP-MIN-007,no,143
Hoeveel inkoopcontracten had HSK Interventie B.V. bij het Rijk? 185. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-046,yes,127
Financiën en Nationale Schuld gaf €187.549.000 uit aan advisering opdrachtgevers over automatiseringsvraagstukken. In twee jaar. #Overheidsuitgaven #Rijksbegroting #OV,category_reveal,apparaat,APP-KMIN-144,no,167
Gemeente Haarlemmermeer ontving geld van het Rijk via vijf verschillende bronnen. Totaal: €1.384.491.603. #Overheidsuitgaven #Rijksbegroting #Haarlem,curiosity,integraal,CROSS-MULTI-012,no,149
Ontvanger BNI-afdracht ontving €4.080.677.000 in 2018 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,instrumenten,INSTR-TOP-027,no,132
Hoeveel ontving Stichting Contour deTwern van Tilburg? €41.208.279. In twee jaar. #Gemeentefonds #Gemeenten #Tilburg,curiosity,gemeente,GEM-TOP-069,no,116
Hoeveel inkoopcontracten had Broekhuizen Communicatie bij het Rijk? 155. In zes jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-079,yes,130
Hoeveel ontving B&A Buurtteam Amsterdam Zuidoost B.V. van Amsterdam? €18.716.096. In één jaar. #Gemeentefonds #Gemeenten #Amsterdam,curiosity,gemeente,GEM-TOP-161,no,131
Vereniging Natuurmonumenten ontving €55.925.818 van de provincie Noord-Holland. In negen jaar. #Provincies #Overheidsuitgaven #NoordHolland,scale_shock,provincie,PROV-TOP-035,no,139
Gispen Nederland B.V. had 43 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-073,yes,107
"Categorie 'Evenementen en congresorganisatie': 2427 leveranciers, 5793 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Transparantie",category_reveal,inkoop,INKOOP-CAT-023,yes,140
"Categorie 'Documentmanagement, Documentontwikkeling en -verwerking': 1429 leveranciers, 4056 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Transparantie",category_reveal,inkoop,INKOOP-CAT-031,yes,162
Stichting INLIA Groningen ontving €24.057.073 van de gemeente Groningen. In zes jaar. #Gemeentefonds #Gemeenten #Groningen,scale_shock,gemeente,GEM-TOP-127,no,122
Strijbosch B.V. had 155 inkoopcontracten bij het Rijk. Categorie: benodigdheden en hulpmiddelen. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-078,yes,141
Dienst Justitiele Inrichtingen had 44 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-069,yes,116
Hoeveel ontving Stichting Buurtteam Amsterdam Zuid van Amsterdam? €24.554.962. In twee jaar. #Gemeentefonds #Gemeenten #Amsterdam,curiosity,gemeente,GEM-TOP-125,no,129
VVV Cards B.V. had 126 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. In zes jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-133,yes,158
Stichting Hogeschool van Amsterdam ontving €2.467.281.000 via financiële instrumenten. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Amsterdam #HBO,scale_shock,instrumenten,INSTR-TOP-078,no,152
Maastricht University: €1.851.966.000. Tno Kwaliteit Van Leven: €1.811.532.000. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Transparantie,comparison,instrumenten,INSTR-TOP-102;INSTR-TOP-104,no,158
N.V. Economische Impuls Zeeland ontving €21.652.240 van Zeeland. In negen jaar. #Provincies #Overheidsuitgaven #Zeeland,concentration,provincie,PROV-TOP-112,no,119
Hoeveel ontving GGD Flevoland van Almere? €78.601.769. In zes jaar. #Gemeentefonds #Gemeenten #Flevoland #Almere,curiosity,gemeente,GEM-TOP-024,no,112
Hoeveel ontving Stichting INLIA Groningen van Groningen? €24.057.073. In zes jaar. #Gemeentefonds #Gemeenten #Groningen,curiosity,gemeente,GEM-TOP-127,no,119
Bank Nederlandse Gemeenten ontving €49.969.479 van de provincie Noord-Brabant. In één jaar. #Provincies #Overheidsuitgaven #NoordBrabant,scale_shock,provincie,PROV-TOP-047,no,136
Lasaulec B.V. had 256 inkoopcontracten bij het Rijk. Categorie: benodigdheden en hulpmiddelen. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-019,yes,153
Hoeveel ontving Dienst Uitvoering Onderwijs van het Rijk? €1.741.437.000. In vijf jaar. #Overheidsuitgaven #Rijksbegroting #Onderwijs,curiosity,instrumenten,INSTR-TOP-108,no,133
Buitenlandse Zaken gaf €558.877.000 uit aan verwerven en afstoten. In zeven jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-053,no,131
Vereniging Natuurmonumenten ontving €55.925.818 van Noord-Holland. In negen jaar. #Provincies #Overheidsuitgaven #NoordHolland,concentration,provincie,PROV-TOP-035,no,126
"Categorie 'Aankoop onderzoeksmateriaal': 931 leveranciers, 2239 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Transparantie",category_reveal,inkoop,INKOOP-CAT-040,yes,133
Pino Evenementen & Congressen B.V. had 145 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-093,yes,150
Museum Catering Den Haag B.V. had 134 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. #Overheidsinkoop #Rijksinkoop #DenHaag #Cultuur,category_reveal,inkoop,INKOOP-TOP-117,yes,163
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO ontving geld van het Rijk via vijf verschillende bronnen. Totaal: €142.340.527. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,integraal,CROSS-MULTI-024,no,205
"Taakuitvoering Zeestrijdkrachten gaf €448.349.000 uit aan salaris, vakantie en eindejaarsuitkering. In één jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie",category_reveal,apparaat,APP-KMIN-065,no,162
Hogeschool Inholland ontving geld van het Rijk via vijf verschillende bronnen. Totaal: €16.987.711. #Overheidsuitgaven #Rijksbegroting #HBO,curiosity,integraal,CROSS-MULTI-030,no,139
