text,format,module,fact_ids,staffel,chars
Gemeente Almelo ontving €16.694.796 van Overijssel. In zeven jaar. #Provincies #Overheidsuitgaven #Overijssel,concentration,provincie,PROV-TOP-154,no,109
Hoeveel gaf Defensie uit aan apparaatskosten? €5.701.035.000. #Overheidsuitgaven #Rijksbegroting #Defensie,curiosity,apparaat,APP-MIN-009,no,106
ISS Integrated Facility Services B.V. had 137 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-106,yes,182
Hoeveel ontving Uitvoeringsinstituut werknemersverzekeringen van het Rijk? €18.047.313.000. In vier jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-007,no,155
Hoeveel ontving Waterschap Brabantse Delta van Noord-Brabant? €27.195.305. In negen jaar. #Provincies #Overheidsuitgaven #NoordBrabant,curiosity,provincie,PROV-TOP-094,no,134
Hoeveel ontving St. Museum Arnhem van Arnhem? €20.020.235. In vijf jaar. #Gemeentefonds #Gemeenten #Arnhem #Cultuur,curiosity,gemeente,GEM-TOP-154,no,115
"""Kessler Stichting"" ontving €41.683.531 van de gemeente Den Haag. In zes jaar. #Gemeentefonds #Gemeenten #DenHaag",scale_shock,gemeente,GEM-TOP-068,no,113
Hoeveel inkoopcontracten had Nederlandse School voor Openbaar Bestuur B.V. bij het Rijk? 153. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-080,yes,152
"Sociale Zaken en Werkgelegenheid gaf €134.626.000 uit aan salaris, vakantie en eindejaarsuitkering. In één jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie",category_reveal,apparaat,APP-KMIN-187,no,162
Hoeveel ontving Stichting Gasthuis Frascati van Amsterdam? €17.097.857. In acht jaar. #Gemeentefonds #Gemeenten #Amsterdam,curiosity,gemeente,GEM-TOP-172,no,122
Staatsbosbeheer ontving €91.743.628 van de provincie Gelderland. In negen jaar. #Provincies #Overheidsuitgaven #Gelderland,scale_shock,provincie,PROV-TOP-016,no,122
Zorginstituut Nederland ontving €32.129.157.000 in 2023 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Zorg,scale_shock,instrumenten,INSTR-TOP-002,no,125
