text,format,module,fact_ids,staffel,chars
Coöperatieve Vereniging Agrarisch Landschap ontving €30.736.594 van de provincie Gelderland. In twee jaar. #Provincies #Overheidsuitgaven #Gelderland,scale_shock,provincie,PROV-TOP-081,no,149
Gemeente Deventer ontving €20.903.763 van de provincie Overijssel. In zeven jaar. #Provincies #Overheidsuitgaven #Overijssel,scale_shock,provincie,PROV-TOP-120,no,124
"Categorie 'Personeelsevenementen, - bijeenkomsten en recepties': 4905 leveranciers, 9204 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Transparantie",category_reveal,inkoop,INKOOP-CAT-015,yes,158
Poiesz Supermarkten BV had 58 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-046,yes,108
"Stichting de Bibliotheek Utrecht ontving €35.950.207 van de gemeente Utrecht. Dat is 9,4% van alle uitkeringen. #Gemeentefonds #Gemeenten #Utrecht #Bibliotheken",concentration,gemeente,GEM-DOM-012,no,160
Dutch Offshore Energy Solution had 17 contracten bij COA. In twee jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-171,yes,115
"Categorie 'Verbruik van energie en water': 900 leveranciers, 4274 contracten bij het Rijk. #Overheidsinkoop #Rijksinkoop #Energie",category_reveal,inkoop,INKOOP-CAT-030,yes,129
Hoeveel ontving Belastingdienst van het Rijk? €7.329.971.000. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-028,no,126
"Bibliotheken Eemland ontving €35.025.472 van de gemeente Amersfoort. Dat is 6,1% van alle uitkeringen. #Gemeentefonds #Gemeenten #Amersfoort",concentration,gemeente,GEM-DOM-029,no,140
Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor INK Zorgtoeslag ontving €7.043.866.000 in 2024 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Zorg #OV,scale_shock,instrumenten,INSTR-TOP-030,no,179
JS Consultancy B.V. had 17 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-172,yes,105
Hoeveel ontving Stichting HVO-Querido van Amsterdam? €247.078.089. In negen jaar. #Gemeentefonds #Gemeenten #Amsterdam,curiosity,gemeente,GEM-TOP-001,no,118
Trans River Line BV had 44 contracten bij COA. In vier jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-068,yes,104
Hoeveel ontving TenneT Holding B.V. van het Rijk? €15.946.400.000. In zes jaar. #Overheidsuitgaven #Rijksbegroting #TenneT,curiosity,instrumenten,INSTR-TOP-012,no,122
Hoeveel ontving GR Regio West-Brabant van Noord-Brabant? €12.795.045. In acht jaar. #Provincies #Overheidsuitgaven #NoordBrabant,curiosity,provincie,PROV-TOP-197,no,128
Papyrus Groep Nederland B.V. had 132 inkoopcontracten bij het Rijk. Categorie: benodigdheden en hulpmiddelen. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-121,yes,168
Hoeveel inkoopcontracten had Conrad Electronic Benelux B.V. bij het Rijk? 328. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-010,yes,137
Stichting Hanzehogeschool Groningen ontving €1.680.510.000 via financiële instrumenten. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Groningen #HBO,scale_shock,instrumenten,INSTR-TOP-116,no,153
Hoeveel ontving Gemeente Enschede van Overijssel? €59.009.939. In zeven jaar. #Provincies #Overheidsuitgaven #Overijssel,curiosity,provincie,PROV-TOP-032,no,120
IP Groep had 30 contracten bij COA. In vier jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-121,yes,93
Hogeschool Utrecht had 50 contracten bij ZonMW. In zeven jaar. #Overheidsuitgaven #Utrecht #HBO,concentration,publiek,PUB-TOP-061,yes,95
Coöperatief Boerennatuur Veluwe U.A. ontving €29.658.078 van de provincie Gelderland. In één jaar. #Provincies #Overheidsuitgaven #Gelderland,scale_shock,provincie,PROV-TOP-085,no,141
Ebn B.V. ontving €1.078.922.000 in 2022 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,instrumenten,INSTR-TOP-130,no,118
Undp/Pnud ontving €1.358.950.000 via financiële instrumenten. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,instrumenten,INSTR-TOP-138,no,126
