text,format,module,fact_ids,staffel,chars
Hoeveel inkoopcontracten had Staples Nederland B.V. bij het Rijk? 140. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-099,yes,129
Hoeveel ontving Stichting openbaar onderwijs aan de Amstel van Amsterdam? €24.729.638. In negen jaar. #Gemeentefonds #Gemeenten #Onderwijs #Amsterdam,curiosity,gemeente,GEM-TOP-124,no,149
"Hoeveel ontving ""Kessler Stichting"" van Den Haag? €41.683.531. In zes jaar. #Gemeentefonds #Gemeenten #DenHaag",curiosity,gemeente,GEM-TOP-068,no,110
Hoeveel ontving Provincie Zuid-Holland van het Rijk? €1.723.980.000. In acht jaar. #Overheidsuitgaven #Rijksbegroting #ZuidHolland #OV,curiosity,instrumenten,INSTR-TOP-110,no,134
Buitenlandse Zaken gaf €140.508.000 uit aan definities conform p-direkt. In vier jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,category_reveal,apparaat,APP-KMIN-182,no,136
"Financiën gaf €538.505.000 uit aan toelagen, toeslagen en vergoedingen. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie",category_reveal,apparaat,APP-KMIN-055,no,135
Gemeente Dordrecht: €1.863.123.000. Tilburg: €1.852.005.000. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Tilburg,comparison,instrumenten,INSTR-TOP-100;INSTR-TOP-101,no,133
H. Offerein Supermarkt B.V. had 28 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-066,yes,113
"Stichting DOCK Hoofdkantoor ontving €13.468.022 van de gemeente Haarlem. Dat is 3,1% van alle uitkeringen. #Gemeentefonds #Gemeenten #Haarlem",concentration,gemeente,GEM-DOM-072,no,141
Hoeveel ontving Gemeente Delft van het Rijk? €1.377.839.000. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-135,no,124
Defensie gaf €120.363.000 uit aan uitzendkrachten. In vijf jaar. #Overheidsuitgaven #Rijksbegroting #Defensie,category_reveal,apparaat,APP-KMIN-198,no,109
"Zorginstituut Nederland: €24.503.000 in 2022, €32.129.157.000 in 2023. Via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #Zorg",scale_shock,instrumenten,INSTR-YOY-UP-035,no,140
Stichting Programmabureau Amsterdam Zuidoost ontving €23.083.273 van de gemeente Amsterdam. In negen jaar. #Gemeentefonds #Gemeenten #Amsterdam,scale_shock,gemeente,GEM-TOP-134,no,143
Civil Management had 28 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-067,yes,102
"Ministerie van Landbouw, Natuur en Voedselkwaliteit ontving €40.809.556 van Gelderland. In één jaar. #Provincies #Overheidsuitgaven #Gelderland",concentration,provincie,PROV-TOP-061,no,143
Collectief Alblasserwaard/Vijfheerenlanden Co√∂peratieve U.A. ontving €27.891.820 van de provincie Zuid-Holland. In drie jaar. #Provincies #Overheidsuitgaven #ZuidHolland,scale_shock,provincie,PROV-TOP-092,no,170
Delta International Promotioneel B.V. had 146 inkoopcontracten bij het Rijk. Categorie: benodigdheden en hulpmiddelen. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-090,yes,177
Stichting PEP Den Haag Participatie Emancipatie Professionals ontving €20.175.760 van de gemeente Den Haag. In acht jaar. #Gemeentefonds #Gemeenten #DenHaag,scale_shock,gemeente,GEM-TOP-151,no,156
Stichting Brabant Sport ontving €15.252.924 van Noord-Brabant. In vijf jaar. #Provincies #Overheidsuitgaven #Sport #NoordBrabant,concentration,provincie,PROV-TOP-173,no,128
Breur Ijzerhandel B.V. had 33 contracten bij COA. In vier jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-103,yes,107
Gartner Nederland B.V had 242 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. #Overheidsinkoop #Rijksinkoop #Transparantie,category_reveal,inkoop,INKOOP-TOP-024,yes,137
Gemeente Westerwolde had 27 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-TOP-137,yes,106
POL Heteren B.V. had 56 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-012,yes,102
