text,format,module,fact_ids,staffel,chars
Stichting Cubiss Brabant ontving €31.923.252 van de provincie Noord-Brabant. In acht jaar. #Provincies #Overheidsuitgaven #NoordBrabant,scale_shock,provincie,PROV-TOP-076,no,135
Rentokil had 19 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-152,yes,94
Hoeveel ontving Stichting Internationaal Theater Amsterdam van Amsterdam? €70.490.332. In acht jaar. #Gemeentefonds #Gemeenten #Amsterdam #Cultuur,curiosity,gemeente,GEM-TOP-028,no,146
De Prijshamer B.V. had 21 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-138,yes,104
Hoeveel ontving Stichting Christelijk Onderwijs Haaglanden van Den Haag? €30.625.893. In acht jaar. #Gemeentefonds #Gemeenten #Onderwijs #DenHaag,curiosity,gemeente,GEM-TOP-095,no,145
Verordening Stimuleringslening Duurzaam thuis ontving €16.432.658 van Limburg. In twee jaar. #Provincies #Overheidsuitgaven #Limburg,concentration,provincie,PROV-TOP-158,no,132
Hoeveel ontving Gemeente Dordrecht van het Rijk? €1.863.123.000. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-100,no,128
Technische Universiteit Delft ontving €3.875.953.000 via financiële instrumenten. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Universiteit,scale_shock,instrumenten,INSTR-TOP-054,no,144
TenneT Holding B.V. ontving €13.100.000.000 in 2024 via financiële instrumenten. #Overheidsuitgaven #Rijksbegroting #TenneT,scale_shock,instrumenten,INSTR-TOP-012,no,123
Het Rijk gaf €2.187.349.000 uit aan bijdrage sso's. Via apparaatsuitgaven. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,apparaat,APP-TOP-012,no,124
De Baak B.V. had 135 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-114,yes,142
Hoeveel ontving Stichting Werkpro van Groningen? €28.437.769. In acht jaar. #Gemeentefonds #Gemeenten #Groningen,curiosity,gemeente,GEM-TOP-103,no,112
Stichting Amsterdamse Oecumenische Scholengroep ontving €48.011.943 van de gemeente Amsterdam. In negen jaar. #Gemeentefonds #Gemeenten #Amsterdam,scale_shock,gemeente,GEM-TOP-055,no,146
