text,format,module,entity,year,staffel,chars
Gemeente Rotterdam ontving €54.219.000 in 2020 via financiële instrumenten. Een jaar later: €2.091.829.000. Een stijging van 3758%. #Rotterdam #Gemeenten #Rijksbegroting #Overheidsuitgaven,scale_shock,instrumenten,Gemeente Rotterdam,2020-2021,no,188
Het Nederlandse Rode Kruis ontving €1.106.000 in 2019. In 2023: €100.915.000. Van bescheiden bijdrage naar honderd miljoen. #RodeKruis #Noodhulp #Overheidsuitgaven #Hulpverlening,scale_shock,instrumenten,Rode Kruis,2019-2023,no,178
KLM ontving €277.084.000 in 2020. Het jaar ervoor: €200.000. Het jaar erna: €480.000. #KLM #Luchtvaart #Corona #Overheidsuitgaven,scale_shock,instrumenten,KLM,2020,no,129
NS Reizigers ontving €877.463.000 in 2023 via financiële instrumenten. Een jaar later: €14.000. #NS #Spoor #OV #Overheidsuitgaven,scale_shock,instrumenten,NS Reizigers,2023-2024,no,129
Het RIVM ontving €588.674.000 in 2021. In 2024: €602.686.000. Structureel boven de €500 miljoen per jaar. #RIVM #Volksgezondheid #Overheidsuitgaven,scale_shock,instrumenten,RIVM,2021-2024,no,147
Wageningen University ontving €338.500.000 in 2024. In 2017: €409.000. Van bijna niets naar de top van de bekostiging. #Wageningen #Landbouw #Wetenschap #Onderwijs,scale_shock,instrumenten,Wageningen University,2017-2024,no,163
De Koninklijke Bibliotheek ontving €145.123.000 in 2024. In 2016: €390.000. Negen jaar later 372 keer zoveel. #KB #Bibliotheken #Cultuur #Overheidsuitgaven,scale_shock,instrumenten,Koninklijke Bibliotheek,2016-2024,no,155
Het Rijksmuseum ontving €329.281.000 via financiële instrumenten. In zeven jaar. #Rijksmuseum #Amsterdam #Cultuur #Musea,scale_shock,instrumenten,Rijksmuseum,2017-2024,no,120
Stichting Radboud Universiteit ontving €555.069.000 in 2023. Een jaar later: €155.000. #Radboud #Nijmegen #Onderwijs #Wetenschap,scale_shock,instrumenten,Radboud Universiteit,2023-2024,no,128
De Vrije Universiteit Amsterdam ontving €611.562.000 in 2023. Het jaar ervoor: €593.000. #VU #Amsterdam #Onderwijs #Wetenschap,scale_shock,instrumenten,VU Amsterdam,2022-2023,no,126
Gemeente Amsterdam ontving €86.954.000 in 2020 via financiële instrumenten. Een jaar later: €2.739.371.000. #Amsterdam #Rijksbegroting #Gemeenten #Overheidsuitgaven,scale_shock,instrumenten,Gemeente Amsterdam instr,2020-2021,no,164
Gemeente Utrecht ontving €22.286.000 in 2020. In 2021: €932.090.000. Een stijging van meer dan 4000%. #Utrecht #Gemeenten #Rijksbegroting #Overheidsuitgaven,scale_shock,instrumenten,Gemeente Utrecht instr,2020-2021,no,156
Het CAK ontving €69.899.000 in 2022. Een jaar later: €286.475.000. Meer dan verviervoudigd. #CAK #Zorg #Rijksbegroting #Overheidsuitgaven,scale_shock,instrumenten,CAK,2022-2023,no,137
The World Bank ontving €442.247.000 van Nederland in 2018. Het jaar ervoor: €144.467.000. #Wereldbank #Ontwikkelingshulp #BuitenlandseZaken #Nederland,scale_shock,instrumenten,World Bank,2017-2018,no,150
NWO ontving €56.044.000 in 2016. Een jaar later: €794.998.000. Van bescheiden naar bijna €800 miljoen. #NWO #Wetenschap #Onderzoek #Overheidsuitgaven,scale_shock,instrumenten,NWO,2016-2017,no,149
Wageningen Research ontving €182.770.000 in 2018. In 2020: €3.518.000. Twee jaar later bijna 50 keer minder. #Wageningen #Onderzoek #Landbouw #Wetenschap,scale_shock,instrumenten,Wageningen Research,2018-2020,no,153
Gemeente Den Haag ontving €952.000 in 2020 via financiële instrumenten. In 2023: €119.499.000. #DenHaag #Gemeenten #Rijksbegroting #Overheidsuitgaven,scale_shock,instrumenten,Gemeente Den Haag instr,2020-2023,no,149
